"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"Data Science and the Don'ts via @InformationWeek  https://t.co/9ecH8QGC8D https://t.co/lvqmB9hvIh";FALSE;0;NA;2018-04-10 13:01:42;FALSE;NA;"983691493507567616";NA;"<a href=\"http://www.everyonesocial.com\" rel=\"nofollow\">EveryoneSocial</a>";"vivekranjandixi";0;FALSE;FALSE;NA;NA
"LOGVIEW: Control the Cost of Free Shipping with Parcel TMS Analytics https://t.co/Cwp3q5sf7P https://t.co/4UZpNvFWeX";FALSE;0;NA;2018-04-10 13:01:41;FALSE;NA;"983691489589870592";NA;"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>";"Logisticsexpert";0;FALSE;FALSE;NA;NA
"@MrButlerFan @heroldbarton @Analytics_Edge @Strat_AI @Analytics_HQ @gt7775372 @RitaSofiale @wanderingstarz1 @xRedLightCamera Happy Tuesday";FALSE;1;"MrButlerFan";2018-04-10 13:01:40;FALSE;"983670903748907010";"983691484355530753";"3254874291";"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"Light4ASD";1;FALSE;FALSE;NA;NA
"Formula for #DigitalMarketing Success
#onlinemarketing #Marketing #entrepreneurs #Startups #socialmediamarketing… https://t.co/VXi8dsK8ET";FALSE;0;NA;2018-04-10 13:01:37;TRUE;NA;"983691470342242305";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"ImRajeshKaushik";0;FALSE;FALSE;NA;NA
"Thanks for the mention! BFriedle: Thanks for the mention! MarkPlant: @MerSicra @terrykakiuchi7 @Analytics_HQ… https://t.co/IRdPZ5WiNU";FALSE;0;NA;2018-04-10 13:01:36;TRUE;NA;"983691465170841600";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"MikeWaterton";0;FALSE;FALSE;NA;NA
"Thanks for the mention! BData_MSci: Thanks for the mention! B2C_MSci: Thanks for the mention! Conv_MSci: Thanks for… https://t.co/YvjjY0tRb2";FALSE;0;NA;2018-04-10 13:01:35;TRUE;NA;"983691461416964096";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Blog_MSci";0;FALSE;FALSE;NA;NA
"Thanks for the mention! Analytics_HQ: Thanks for the mention! Cars_CE: RT @Analytics_Edge: TY! <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6> @Strat_AI… https://t.co/xtGzUmePTD";FALSE;0;NA;2018-04-10 13:01:34;TRUE;NA;"983691460565487616";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"MikeWaterton";0;FALSE;FALSE;NA;NA
"Thanks for the mention! BData_MSci: Thanks for the mention! B2C_MSci: Thanks for the mention! Conv_MSci: Thanks for… https://t.co/ijPeN8BL3I";FALSE;0;NA;2018-04-10 13:01:33;TRUE;NA;"983691456316608513";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Blog_MSci";0;FALSE;FALSE;NA;NA
"Thanks for the mention! CrackingGoogle: RT @Analytics_Edge: TY! <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6> @Strat_AI @Analytics_HQ @Analytics_HQ… https://t.co/2e6BnRAUj1";FALSE;0;NA;2018-04-10 13:01:33;TRUE;NA;"983691453682671616";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"MikeWaterton";0;FALSE;FALSE;NA;NA
"Thanks for the mention! B2BDig: RT @Analytics_Edge: TY! <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6> @Strat_AI @Analytics_HQ @MikeWaterton @MarkPlant @ufohits @chantal07851635";FALSE;0;NA;2018-04-10 13:01:32;FALSE;NA;"983691449131851777";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"MikeWaterton";0;FALSE;FALSE;NA;NA
"Thanks for the mention! BData_MSci: Thanks for the mention! B2C_MSci: Thanks for the mention! BData_MSci: Thanks fo… https://t.co/PwxiO8lgq9";FALSE;0;NA;2018-04-10 13:01:32;TRUE;NA;"983691448645308416";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Blog_MSci";0;FALSE;FALSE;NA;NA
"Thanks for the mention! BData_MSci: Thanks for the mention! B2C_MSci: Thanks for the mention! BData_MSci: Thanks fo… https://t.co/vaU9LdZlOD";FALSE;0;NA;2018-04-10 13:01:31;TRUE;NA;"983691445902209024";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Blog_MSci";0;FALSE;FALSE;NA;NA
"Thanks for the mention! fmpreuss: Thanks for the mention! MerSicra: RT @TanRob22: @fmpreuss @MikeWaterton @MerSicra… https://t.co/n01EgNgJ0w";FALSE;0;NA;2018-04-10 13:01:30;TRUE;NA;"983691443666669568";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"MikeWaterton";0;FALSE;FALSE;NA;NA
"Thanks for the mention! BData_MSci: Thanks for the mention! B2C_MSci: Thanks for the mention! Analytics_HQ: #TY!… https://t.co/UX4xF9L6Dp";FALSE;0;NA;2018-04-10 13:01:30;TRUE;NA;"983691441879879680";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Blog_MSci";0;FALSE;FALSE;NA;NA
"Thanks for the mention! fmpreuss: Thanks for the mention! MerSicra: RT @fmpreuss: Thanks for the mention! MinisterB… https://t.co/NmdpQsHeTs";FALSE;0;NA;2018-04-10 13:01:29;TRUE;NA;"983691439354900480";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"MikeWaterton";0;FALSE;FALSE;NA;NA
"Thanks for the mention! BData_MSci: Thanks for the mention! Conv_MSci: Thanks for the mention! BData_MSci: Thanks f… https://t.co/DwFXSNgLgp";FALSE;0;NA;2018-04-10 13:01:29;TRUE;NA;"983691437396152320";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Blog_MSci";0;FALSE;FALSE;NA;NA
